                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.5001,                 2.7383,                 1.4521,                 1.5347,                 0.4933,                0.46144,                0.43374,                0.22293,                0.47485,                 0.4381,                0.39889,                0.15594,                 1.6505,                 2.8945,                 1.7319,                  1.719,              0.0095644,              0.0095644,              0.0095644
                     25,                 1.4982,                  2.764,                 1.4544,                  1.534,                0.49585,                0.46267,                0.44515,                0.22416,                0.48235,                0.45008,                 0.4194,                0.16226,                 1.6398,                 2.9228,                 1.6576,                 1.6967,              0.0095446,              0.0095446,              0.0095446
                     26,                 1.4823,                 2.7144,                 1.4279,                 1.5257,                0.48691,                0.47957,                0.44339,                 0.2212,                0.46975,                0.46267,                0.41631,                0.16298,                 1.6513,                  2.924,                 1.7394,                 1.6968,              0.0095248,              0.0095248,              0.0095248
                     27,                 1.4776,                 2.7328,                  1.434,                 1.5283,                 0.4404,                0.39337,                0.35209,                0.17496,                0.43439,                0.37358,                0.32526,                0.12389,                 1.7628,                 3.0935,                 1.9986,                 1.8317,               0.009505,               0.009505,               0.009505
                     28,                 1.4768,                 2.7059,                 1.4161,                 1.5086,                0.49493,                0.46482,                0.44318,                0.22798,                0.48152,                0.45223,                0.41534,                 0.1669,                 1.6133,                 2.8842,                 1.6443,                 1.6679,              0.0094852,              0.0094852,              0.0094852
                     29,                 1.4736,                 2.7099,                 1.4128,                 1.5212,                0.53981,                0.50261,                0.49024,                0.25287,                0.52226,                0.49155,                0.46329,                0.18514,                  1.588,                 2.8296,                 1.5413,                 1.6506,              0.0094654,              0.0094654,              0.0094654
                     30,                 1.4561,                 2.6966,                 1.3873,                 1.5078,                0.51473,                0.49462,                0.47415,                0.23991,                0.50354,                0.47711,                0.44725,                0.17346,                 1.6246,                 2.8901,                 1.5751,                 1.6685,              0.0094456,              0.0094456,              0.0094456
                     31,                 1.4425,                  2.668,                 1.3598,                 1.4889,                0.51581,                0.50261,                0.48661,                0.25347,                0.51573,                0.48725,                0.46701,                0.18653,                 1.5901,                 2.7844,                 1.5379,                 1.6528,              0.0094258,              0.0094258,              0.0094258
                     32,                 1.4436,                  2.677,                 1.3617,                 1.4977,                0.51007,                0.51091,                0.47433,                0.24566,                0.49763,                0.49616,                0.44886,                0.18201,                 1.5994,                 2.8293,                 1.5827,                 1.6563,               0.009406,               0.009406,               0.009406
                     33,                 1.4352,                 2.6573,                 1.3393,                 1.4836,                0.48172,                 0.4977,                 0.4404,                0.21477,                0.47481,                0.46421,                   0.41,                0.15495,                  1.705,                 3.0577,                 1.6421,                 1.7333,              0.0093862,              0.0093862,              0.0093862
                     34,                 1.4288,                 2.6398,                 1.3274,                 1.4765,                0.48357,                0.50285,                0.44723,                0.22461,                0.47694,                0.47619,                0.42136,                0.16184,                  1.662,                 2.9653,                 1.6654,                 1.7074,              0.0093664,              0.0093664,              0.0093664
