                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    125,                0.94413,                 1.9222,                 0.6795,                  1.128,                 0.7651,                0.64343,                0.70391,                 0.4428,                0.75414,                0.63421,                0.68431,                0.34439,                  1.322,                 2.4472,                 1.0013,                 1.4684,              0.0075646,              0.0075646,              0.0075646
                    126,                0.94259,                 1.9108,                0.67265,                 1.1183,                0.78077,                0.64147,                0.69922,                0.44508,                0.76614,                0.63134,                0.67441,                 0.3419,                 1.3135,                 2.4667,                0.99944,                 1.4448,              0.0075448,              0.0075448,              0.0075448
                    127,                0.94621,                 1.9169,                0.67655,                 1.1292,                0.76814,                 0.6639,                0.71317,                0.45362,                0.76333,                  0.651,                0.69317,                0.35232,                 1.2981,                 2.4419,                0.96793,                 1.4486,               0.007525,               0.007525,               0.007525
                    128,                0.94779,                 1.9179,                0.68224,                 1.1333,                 0.7654,                0.66556,                0.71221,                0.45723,                0.75579,                 0.6513,                0.68929,                0.35453,                 1.2939,                 2.4526,                0.97252,                 1.4402,              0.0075052,              0.0075052,              0.0075052
                    129,                0.93645,                 1.9003,                0.66103,                 1.1251,                0.76413,                0.66636,                0.71408,                0.45494,                0.75549,                0.64833,                0.68867,                0.35008,                 1.2856,                 2.4332,                0.97667,                 1.4295,              0.0074854,              0.0074854,              0.0074854
                    130,                0.94379,                 1.9135,                0.66654,                 1.1263,                0.79009,                0.64987,                0.71331,                0.45846,                0.77593,                0.63594,                0.69086,                0.35711,                 1.2636,                  2.433,                0.95748,                 1.4175,              0.0074656,              0.0074656,              0.0074656
                    131,                0.93392,                  1.894,                0.66118,                 1.1197,                0.76056,                0.65929,                0.71125,                0.46046,                0.77079,                0.63748,                0.69216,                0.35431,                 1.2723,                  2.426,                0.97522,                 1.4147,              0.0074458,              0.0074458,              0.0074458
                    132,                0.93303,                 1.9003,                0.66058,                 1.1134,                0.77568,                 0.6576,                0.71235,                0.45514,                0.77605,                0.64209,                0.69272,                0.35365,                 1.2941,                 2.4477,                 0.9692,                 1.4303,               0.007426,               0.007426,               0.007426
                    133,                0.92854,                 1.8841,                0.65496,                  1.115,                0.79874,                  0.647,                0.71463,                0.46495,                0.78982,                0.63748,                0.69803,                0.35933,                 1.2684,                  2.419,                0.95184,                 1.4087,              0.0074062,              0.0074062,              0.0074062
                    134,                0.92621,                    1.9,                0.66109,                 1.1144,                0.78916,                0.65085,                  0.716,                0.46207,                0.78025,                 0.6384,                0.69337,                0.35467,                 1.2764,                 2.4247,                0.96134,                 1.4126,              0.0073864,              0.0073864,              0.0073864
                    135,                0.92212,                 1.8762,                  0.649,                 1.1145,                0.76709,                0.66575,                0.71325,                0.46175,                0.75364,                0.65407,                0.68803,                 0.3544,                 1.2782,                 2.4439,                0.96454,                 1.4221,              0.0073666,              0.0073666,              0.0073666
                    136,                0.92159,                 1.8787,                0.64863,                 1.1155,                0.78885,                0.65346,                0.71489,                0.46082,                 0.7757,                0.64279,                0.69316,                0.35477,                 1.2761,                 2.4231,                0.96222,                 1.4342,              0.0073468,              0.0073468,              0.0073468
                    137,                0.91675,                  1.865,                0.64842,                  1.107,                0.76591,                0.66846,                0.71383,                0.45915,                 0.7699,                0.64455,                0.69279,                0.35362,                 1.2897,                 2.4579,                0.97114,                 1.4401,               0.007327,               0.007327,               0.007327
                    138,                0.92175,                 1.8716,                0.65379,                 1.1111,                0.76372,                0.67404,                0.71962,                0.46325,                0.75909,                0.65591,                0.69567,                0.35658,                 1.2725,                 2.4381,                0.94761,                 1.4269,              0.0073072,              0.0073072,              0.0073072
                    139,                0.91608,                 1.8611,                0.65041,                 1.1076,                0.77563,                 0.6679,                0.71854,                0.46586,                0.78628,                0.64055,                 0.6962,                0.35995,                 1.2634,                 2.4153,                0.94789,                 1.4257,              0.0072874,              0.0072874,              0.0072874
                    140,                0.90549,                 1.8508,                0.63924,                 1.1037,                0.77459,                 0.6746,                0.71892,                0.46204,                0.78632,                 0.6553,                0.69945,                0.36113,                  1.271,                  2.423,                0.93906,                 1.4243,              0.0072676,              0.0072676,              0.0072676
                    141,                0.91435,                 1.8691,                0.65061,                 1.1077,                0.78096,                0.66925,                0.71735,                0.46231,                0.77207,                0.65684,                0.69379,                0.36078,                 1.2632,                 2.4307,                0.94896,                 1.4247,              0.0072478,              0.0072478,              0.0072478
                    142,                0.89763,                 1.8478,                0.63406,                 1.1013,                0.77906,                 0.6682,                0.72483,                0.47136,                0.76306,                0.66487,                0.70509,                0.36746,                 1.2496,                 2.4131,                0.94144,                 1.4213,               0.007228,               0.007228,               0.007228
                    143,                0.90028,                 1.8293,                0.63176,                 1.0979,                0.76863,                0.67668,                0.72184,                0.47258,                0.77376,                0.66237,                0.70809,                0.36797,                 1.2506,                 2.4235,                0.94035,                 1.4265,              0.0072082,              0.0072082,              0.0072082
                    144,                0.89254,                 1.8312,                0.62488,                 1.0923,                0.76861,                0.67966,                0.72335,                0.47207,                0.76372,                0.66697,                0.70381,                0.36539,                 1.2596,                 2.4137,                0.94472,                 1.4305,              0.0071884,              0.0071884,              0.0071884
                    145,                0.89414,                 1.8346,                0.62638,                  1.097,                0.77203,                0.68479,                0.72184,                0.46977,                0.75799,                0.66575,                0.69564,                0.36116,                 1.2595,                 2.4468,                0.93238,                 1.4293,              0.0071686,              0.0071686,              0.0071686
                    146,                0.89912,                  1.845,                0.63171,                 1.0979,                0.78384,                0.67896,                0.72596,                0.47517,                0.77653,                0.67147,                0.70819,                0.37112,                 1.2515,                 2.4247,                0.92797,                 1.4115,              0.0071488,              0.0071488,              0.0071488
                    147,                0.89063,                 1.8236,                0.62073,                  1.084,                0.80318,                0.65868,                0.72503,                0.47728,                0.78041,                0.65947,                0.71005,                0.37357,                 1.2314,                 2.3998,                0.95104,                 1.3989,               0.007129,               0.007129,               0.007129
                    148,                0.90227,                  1.841,                0.63172,                 1.0971,                0.77178,                0.67115,                0.72531,                0.47645,                0.76446,                0.66905,                0.70986,                0.37608,                 1.2367,                 2.4318,                0.95639,                  1.403,              0.0071092,              0.0071092,              0.0071092
                    149,                0.89408,                 1.8285,                0.62709,                 1.0929,                 0.7907,                0.65693,                0.71732,                0.47336,                0.78685,                0.65323,                0.70541,                 0.3703,                 1.2322,                 2.4097,                0.93559,                  1.411,              0.0070894,              0.0070894,              0.0070894
                    150,                0.88288,                 1.8134,                0.61732,                 1.0911,                0.78585,                0.66851,                0.72621,                0.47497,                0.77872,                0.65591,                0.70754,                0.37377,                 1.2353,                 2.4295,                0.93858,                 1.4146,              0.0070696,              0.0070696,              0.0070696
                    151,                0.88356,                 1.8132,                0.61869,                  1.091,                0.79572,                0.66175,                0.72358,                0.47515,                0.79456,                0.65315,                0.70904,                0.37217,                 1.2331,                 2.3762,                 0.9566,                 1.4086,              0.0070498,              0.0070498,              0.0070498
                    152,                0.88299,                 1.8172,                0.61465,                 1.0845,                0.80137,                0.67057,                0.72454,                0.47729,                0.79805,                0.65074,                0.70275,                 0.3681,                 1.2325,                 2.3895,                0.92401,                 1.4054,                0.00703,                0.00703,                0.00703
                    153,                0.88447,                 1.8037,                0.61579,                 1.0862,                0.78504,                0.68479,                0.72913,                0.47817,                0.79054,                0.65899,                0.71083,                 0.3696,                 1.2394,                  2.381,                0.92764,                 1.4058,              0.0070102,              0.0070102,              0.0070102
                    154,                0.88192,                    1.8,                0.62021,                 1.0907,                0.80297,                0.67404,                0.73162,                0.48294,                0.79319,                 0.6596,                0.71347,                0.37593,                 1.2165,                 2.3754,                0.93067,                 1.3989,              0.0069904,              0.0069904,              0.0069904
                    155,                 0.8752,                 1.7972,                0.60976,                 1.0866,                 0.8007,                 0.6725,                0.72718,                0.48383,                0.79283,                0.66237,                0.71263,                 0.3745,                 1.2215,                 2.4066,                 0.9198,                 1.4099,              0.0069706,              0.0069706,              0.0069706
                    156,                0.86129,                 1.7666,                0.60058,                 1.0735,                0.78015,                0.68246,                0.72708,                 0.4845,                0.77746,                 0.6768,                0.71514,                0.37888,                 1.2115,                 2.3701,                0.91768,                 1.3983,              0.0069508,              0.0069508,              0.0069508
                    157,                0.86643,                 1.7841,                0.60311,                 1.0808,                0.77881,                0.68418,                0.72135,                0.47701,                0.77132,                0.67373,                0.70172,                 0.3719,                 1.2201,                 2.3819,                0.92591,                 1.3955,               0.006931,               0.006931,               0.006931
                    158,                0.87344,                 1.7816,                0.59862,                 1.0795,                0.81076,                0.65899,                0.71791,                0.47596,                0.80199,                0.65576,                0.70237,                0.37232,                 1.2213,                 2.4021,                0.91871,                 1.4088,              0.0069112,              0.0069112,              0.0069112
                    159,                 0.8624,                 1.7844,                0.60906,                  1.079,                0.79329,                0.68385,                0.72562,                 0.4803,                0.78707,                0.67189,                0.70668,                0.37384,                  1.215,                 2.4202,                0.93224,                  1.399,              0.0068914,              0.0068914,              0.0068914
                    160,                0.86766,                 1.7816,                0.60123,                 1.0787,                0.79341,                0.68141,                0.72529,                0.47874,                0.77442,                0.67988,                0.70889,                 0.3757,                 1.2176,                 2.3989,                0.92605,                 1.4049,              0.0068716,              0.0068716,              0.0068716
                    161,                0.86261,                 1.7579,                0.59667,                 1.0768,                 0.7964,                0.67127,                0.72966,                0.48192,                 0.7919,                0.65701,                0.70796,                0.37762,                 1.2053,                 2.3844,                0.92938,                 1.3968,              0.0068518,              0.0068518,              0.0068518
                    162,                0.86298,                 1.7792,                0.59351,                 1.0797,                0.80191,                0.66912,                0.72626,                0.47571,                0.78617,                0.65852,                0.70145,                  0.373,                 1.2117,                 2.3975,                 0.9319,                 1.4139,               0.006832,               0.006832,               0.006832
                    163,                0.85576,                 1.7605,                0.59279,                 1.0727,                0.80694,                0.68141,                0.72857,                0.47926,                0.79409,                0.66822,                0.71006,                0.37558,                  1.223,                 2.3867,                0.91943,                 1.4144,              0.0068122,              0.0068122,              0.0068122
                    164,                0.85496,                 1.7576,                0.59798,                 1.0782,                0.79904,                0.68479,                0.72809,                0.47951,                0.78965,                 0.6689,                0.70881,                0.37767,                 1.2268,                 2.3682,                0.92822,                  1.414,              0.0067924,              0.0067924,              0.0067924
                    165,                0.85999,                 1.7654,                0.59701,                 1.0776,                0.80107,                0.68633,                0.72973,                0.48227,                0.79325,                 0.6766,                0.71102,                0.37643,                 1.2169,                 2.3824,                0.90944,                 1.4018,              0.0067726,              0.0067726,              0.0067726
                    166,                0.85025,                 1.7523,                  0.587,                 1.0653,                0.77089,                 0.6967,                0.73017,                0.48391,                0.76199,                0.68947,                 0.7147,                0.37931,                 1.2129,                 2.3666,                0.91415,                 1.3942,              0.0067528,              0.0067528,              0.0067528
                    167,                0.84331,                 1.7319,                0.58013,                 1.0602,                0.78644,                0.68541,                0.73107,                0.48577,                0.77908,                0.67343,                0.71081,                0.38163,                 1.2091,                 2.3748,                0.90777,                 1.3965,               0.006733,               0.006733,               0.006733
                    168,                0.84227,                 1.7521,                0.58483,                 1.0726,                0.77681,                0.68753,                0.73069,                0.48403,                0.76674,                0.67862,                0.71308,                0.37915,                 1.2082,                 2.3698,                0.90853,                 1.4011,              0.0067132,              0.0067132,              0.0067132
                    169,                0.84195,                 1.7396,                0.58218,                 1.0664,                0.79604,                0.67865,                0.73034,                0.48495,                0.78252,                0.67211,                0.71225,                0.37974,                 1.2098,                  2.359,                0.92393,                 1.3932,              0.0066934,              0.0066934,              0.0066934
                    170,                0.84248,                 1.7448,                0.58212,                  1.065,                0.80288,                0.68111,                0.73693,                0.48879,                0.79533,                 0.6733,                0.71622,                0.38613,                 1.2192,                 2.3819,                0.91456,                 1.4073,              0.0066736,              0.0066736,              0.0066736
                    171,                0.84717,                 1.7379,                0.57908,                 1.0678,                0.82199,                0.65964,                0.73031,                 0.4853,                0.81171,                0.65038,                0.70973,                0.38233,                 1.2169,                 2.3828,                  0.917,                 1.4095,              0.0066538,              0.0066538,              0.0066538
                    172,                0.84106,                 1.7327,                0.58078,                 1.0674,                0.80285,                0.68309,                0.73753,                0.49443,                0.79322,                0.67343,                0.71724,                0.38571,                 1.1915,                 2.3636,                0.90509,                 1.3906,               0.006634,               0.006634,               0.006634
                    173,                0.83264,                 1.7319,                0.57709,                 1.0601,                0.80812,                0.67153,                0.73512,                0.49165,                0.79155,                0.65776,                0.71082,                0.38301,                 1.1883,                  2.373,                  0.908,                 1.3862,              0.0066142,              0.0066142,              0.0066142
                    174,                0.83638,                 1.7386,                0.57204,                 1.0612,                0.81467,                0.67343,                0.73432,                0.49149,                0.79994,                0.66298,                0.71449,                0.38508,                 1.1907,                 2.3667,                0.90148,                 1.3818,              0.0065944,              0.0065944,              0.0065944
                    175,                0.82725,                 1.6989,                0.56132,                 1.0509,                0.81616,                0.67239,                0.73714,                0.49164,                0.80357,                 0.6596,                0.71276,                0.38202,                 1.2033,                 2.3769,                0.90176,                  1.393,              0.0065746,              0.0065746,              0.0065746
                    176,                0.83686,                 1.7268,                0.57925,                 1.0627,                0.81377,                0.68018,                0.73701,                0.49651,                0.80251,                 0.6725,                0.72188,                0.38788,                 1.2001,                 2.3659,                0.89437,                 1.3881,              0.0065548,              0.0065548,              0.0065548
                    177,                0.82909,                 1.7264,                0.56962,                 1.0589,                0.82156,                0.66636,                0.73804,                0.49325,                0.82565,                0.64516,                0.71544,                0.38416,                 1.2035,                 2.3803,                0.89858,                 1.3924,               0.006535,               0.006535,               0.006535
                    178,                0.82591,                 1.7113,                 0.5692,                 1.0588,                0.80159,                0.68636,                0.73805,                0.49253,                0.79862,                0.67435,                0.71848,                0.38508,                 1.1895,                 2.3638,                0.90312,                 1.3858,              0.0065152,              0.0065152,              0.0065152
                    179,                0.82781,                 1.7076,                0.56985,                 1.0584,                0.78231,                0.69462,                0.73554,                0.49261,                0.78033,                0.68295,                0.71593,                0.38477,                 1.1911,                 2.3708,                0.90033,                 1.3869,              0.0064954,              0.0064954,              0.0064954
                    180,                0.82604,                 1.7084,                0.57083,                 1.0586,                0.79414,                0.69569,                0.73814,                0.49604,                 0.7899,                0.68377,                0.71948,                0.38793,                 1.1906,                 2.3668,                0.89475,                 1.3895,              0.0064756,              0.0064756,              0.0064756
                    181,                0.82542,                 1.7245,                0.57327,                  1.061,                 0.8171,                0.67527,                0.73458,                0.49608,                0.80957,                0.66873,                0.71781,                0.38908,                 1.1864,                  2.384,                0.90272,                 1.3878,              0.0064558,              0.0064558,              0.0064558
                    182,                0.82277,                 1.6949,                0.56543,                 1.0496,                0.82647,                0.67619,                0.74141,                0.50098,                0.81859,                0.66974,                0.72318,                0.39253,                 1.1829,                 2.3708,                0.88384,                 1.3831,               0.006436,               0.006436,               0.006436
                    183,                0.81414,                 1.7007,                0.56207,                 1.0514,                0.80467,                0.68089,                0.73803,                0.49939,                0.79826,                0.67588,                0.72336,                0.39236,                 1.1808,                 2.3674,                0.88844,                 1.3842,              0.0064162,              0.0064162,              0.0064162
                    184,                0.81443,                 1.6834,                0.55813,                 1.0495,                0.82244,                0.67452,                 0.7396,                0.49858,                0.81207,                0.66641,                0.72367,                 0.3924,                 1.1722,                 2.3442,                0.88831,                 1.3732,              0.0063964,              0.0063964,              0.0063964
                    185,                0.81588,                 1.6941,                0.55806,                  1.045,                0.80706,                0.68479,                0.73704,                0.49629,                0.79583,                0.67865,                0.71759,                0.38959,                  1.181,                 2.3477,                0.89027,                 1.3803,              0.0063766,              0.0063766,              0.0063766
                    186,                0.80795,                 1.6746,                0.54639,                 1.0436,                0.78952,                0.69616,                 0.7341,                0.49079,                0.77423,                0.69063,                0.71304,                0.38504,                  1.186,                 2.3533,                0.89944,                 1.3887,              0.0063568,              0.0063568,              0.0063568
                    187,                0.81645,                 1.6836,                0.55772,                 1.0484,                0.80301,                0.68694,                0.73265,                0.49174,                0.80317,                0.67005,                0.71136,                0.38268,                 1.1832,                  2.363,                0.89388,                 1.3927,               0.006337,               0.006337,               0.006337
                    188,                0.80579,                 1.6742,                0.54754,                 1.0394,                0.79734,                0.69259,                0.73268,                0.49177,                0.79227,                0.67961,                0.70858,                0.38348,                 1.1787,                 2.3661,                0.89965,                 1.3797,              0.0063172,              0.0063172,              0.0063172
                    189,                0.80408,                 1.6744,                0.54968,                 1.0419,                0.79259,                0.69339,                0.73541,                0.49863,                0.78357,                0.68181,                0.71479,                0.38807,                 1.1672,                 2.3437,                0.90196,                 1.3738,              0.0062974,              0.0062974,              0.0062974
                    190,                0.80297,                 1.6724,                0.54888,                 1.0463,                0.80215,                0.69432,                0.73872,                0.50393,                0.80109,                0.67927,                  0.722,                0.39452,                 1.1605,                 2.3323,                0.88122,                  1.368,              0.0062776,              0.0062776,              0.0062776
                    191,                0.80121,                 1.6719,                0.54991,                 1.0447,                0.81048,                0.69107,                0.74209,                0.50549,                0.80703,                0.67496,                0.72192,                0.39488,                 1.1663,                  2.335,                0.88388,                 1.3802,              0.0062578,              0.0062578,              0.0062578
                    192,                0.80358,                 1.6651,                0.54569,                 1.0407,                0.82371,                0.68141,                0.73567,                0.50046,                0.82346,                0.66924,                0.71751,                0.39312,                 1.1666,                 2.3396,                0.89336,                 1.3813,               0.006238,               0.006238,               0.006238
                    193,                0.79956,                 1.6746,                0.54727,                 1.0437,                0.80725,                0.69155,                0.73938,                0.50319,                 0.8137,                0.67281,                0.72349,                0.39663,                 1.1615,                 2.3357,                0.88505,                 1.3699,              0.0062182,              0.0062182,              0.0062182
                    194,                0.79504,                 1.6587,                0.54278,                 1.0409,                0.80122,                0.69432,                0.73833,                0.50419,                0.81646,                0.66557,                0.72288,                0.39792,                 1.1611,                 2.3385,                0.88703,                 1.3735,              0.0061984,              0.0061984,              0.0061984
                    195,                0.79608,                 1.6603,                0.54551,                 1.0451,                0.82313,                0.68197,                0.74368,                0.50486,                0.79491,                 0.6799,                0.72539,                0.39895,                 1.1655,                 2.3417,                0.88179,                 1.3781,              0.0061786,              0.0061786,              0.0061786
                    196,                0.79492,                 1.6415,                 0.5393,                 1.0414,                0.83089,                 0.6851,                0.74552,                0.50674,                 0.8236,                0.67414,                0.72666,                 0.4004,                 1.1627,                 2.3261,                0.87232,                 1.3776,              0.0061588,              0.0061588,              0.0061588
                    197,                0.79477,                 1.6482,                0.53426,                 1.0335,                0.82058,                0.68387,                 0.7419,                0.50532,                0.81512,                0.67281,                0.72509,                0.39981,                 1.1644,                 2.3081,                0.86668,                 1.3741,               0.006139,               0.006139,               0.006139
                    198,                0.79507,                 1.6562,                0.54011,                 1.0343,                0.82393,                0.67957,                0.74229,                0.50743,                0.82071,                0.66799,                0.72484,                0.39868,                 1.1615,                 2.3171,                0.88295,                 1.3691,              0.0061192,              0.0061192,              0.0061192
                    199,                0.79243,                 1.6551,                0.54286,                 1.0342,                0.80868,                 0.6851,                0.73763,                0.50457,                0.80633,                0.67527,                0.72603,                0.39667,                 1.1611,                  2.325,                0.88671,                 1.3712,              0.0060994,              0.0060994,              0.0060994
                    200,                0.78844,                  1.652,                0.53874,                 1.0346,                0.82353,                0.67711,                0.73843,                0.50388,                0.81467,                0.66667,                0.72065,                0.39457,                 1.1569,                 2.3096,                0.90075,                 1.3704,              0.0060796,              0.0060796,              0.0060796
                    201,                0.78056,                 1.6392,                0.53445,                 1.0332,                0.82084,                 0.6808,                0.73898,                 0.5005,                0.81456,                0.67435,                0.72343,                0.39399,                 1.1689,                 2.3291,                0.91079,                 1.3816,              0.0060598,              0.0060598,              0.0060598
                    202,                0.78738,                 1.6306,                  0.531,                 1.0302,                 0.8359,                0.67759,                0.74034,                0.50076,                0.82935,                0.67066,                0.72598,                 0.3939,                 1.1643,                 2.3236,                0.89994,                 1.3767,                0.00604,                0.00604,                0.00604
                    203,                0.78358,                 1.6285,                0.53088,                 1.0331,                0.82412,                 0.6766,                0.74081,                0.50199,                0.82193,                0.66667,                0.72826,                0.39507,                 1.1639,                 2.3351,                0.90626,                 1.3798,              0.0060202,              0.0060202,              0.0060202
                    204,                0.78203,                 1.6186,                0.52934,                 1.0327,                0.81677,                0.67926,                0.74175,                0.50623,                0.81995,                0.66736,                 0.7282,                0.39895,                 1.1451,                  2.319,                0.89266,                 1.3646,              0.0060004,              0.0060004,              0.0060004
                    205,                 0.7834,                 1.6312,                0.53395,                 1.0341,                0.83122,                0.67281,                0.74225,                0.50875,                0.82438,                0.66728,                0.72681,                0.39963,                 1.1442,                  2.314,                0.89976,                 1.3618,              0.0059806,              0.0059806,              0.0059806
                    206,                0.76969,                 1.6139,                0.51712,                 1.0222,                0.82283,                0.67774,                0.74248,                0.50969,                0.81458,                0.67035,                0.72641,                0.40022,                 1.1399,                 2.3064,                 0.8918,                 1.3597,              0.0059608,              0.0059608,              0.0059608
                    207,                0.77356,                 1.6175,                0.52534,                 1.0276,                0.82915,                0.67926,                0.74427,                0.51183,                0.82285,                0.67068,                0.72779,                0.40328,                 1.1339,                 2.2972,                0.89389,                 1.3581,               0.005941,               0.005941,               0.005941
                    208,                0.77888,                 1.6184,                0.52831,                 1.0304,                  0.831,                0.67525,                 0.7446,                0.51103,                0.82574,                0.66974,                0.72712,                0.40111,                 1.1377,                 2.2998,                0.89333,                 1.3651,              0.0059212,              0.0059212,              0.0059212
                    209,                0.77797,                  1.626,                0.53573,                 1.0308,                 0.8251,                0.68111,                 0.7437,                0.51171,                0.81543,                0.67312,                0.72515,                0.40105,                  1.142,                 2.3171,                0.89407,                 1.3657,              0.0059014,              0.0059014,              0.0059014
                    210,                0.77449,                 1.6281,                0.53191,                 1.0276,                0.81866,                0.68933,                0.74456,                0.51241,                0.81132,                0.67619,                0.72423,                0.40219,                  1.131,                  2.315,                0.89644,                 1.3594,              0.0058816,              0.0058816,              0.0058816
                    211,                 0.7781,                 1.6026,                0.52767,                  1.027,                0.81402,                0.68295,                 0.7422,                0.51425,                0.80512,                0.67396,                0.72553,                0.40402,                 1.1292,                 2.3177,                0.90596,                 1.3552,              0.0058618,              0.0058618,              0.0058618
                    212,                0.77136,                 1.6001,                 0.5193,                 1.0277,                0.82235,                0.68418,                0.73975,                0.51093,                0.81335,                0.67608,                0.72814,                 0.4037,                 1.1347,                 2.3338,                0.90733,                 1.3608,               0.005842,               0.005842,               0.005842
                    213,                0.76946,                 1.6145,                0.51799,                 1.0225,                0.81478,                0.68633,                0.73903,                0.51068,                0.81203,                0.67465,                0.72595,                0.40268,                 1.1393,                 2.3415,                0.90292,                  1.364,              0.0058222,              0.0058222,              0.0058222
                    214,                0.76632,                 1.6139,                0.52358,                 1.0281,                0.81359,                0.69155,                0.74338,                0.51483,                 0.8088,                0.68264,                0.72974,                0.40545,                 1.1314,                 2.3256,                0.88862,                 1.3627,              0.0058024,              0.0058024,              0.0058024
                    215,                0.77159,                 1.6013,                0.51882,                 1.0253,                0.82108,                0.68658,                0.74175,                0.51242,                0.83069,                0.67074,                0.72898,                0.40545,                 1.1276,                 2.3217,                0.89399,                 1.3608,              0.0057826,              0.0057826,              0.0057826
                    216,                0.77131,                 1.5999,                0.52206,                 1.0297,                0.81845,                0.69339,                0.74178,                0.51264,                0.80767,                0.68756,                0.72953,                 0.4046,                 1.1318,                 2.3282,                  0.896,                 1.3663,              0.0057628,              0.0057628,              0.0057628
                    217,                0.76716,                 1.6017,                0.52345,                 1.0256,                0.83211,                0.68366,                0.74523,                0.51528,                0.82376,                0.67834,                0.73369,                0.40952,                 1.1342,                 2.3133,                0.88967,                 1.3684,               0.005743,               0.005743,               0.005743
                    218,                0.76482,                 1.6057,                0.52191,                 1.0254,                0.80368,                0.70179,                0.74248,                0.51659,                0.82269,                0.67852,                0.73348,                0.41095,                 1.1317,                 2.3036,                0.89019,                  1.366,              0.0057232,              0.0057232,              0.0057232
